"direction","distance_threshold_m","predictor","slope","p_value","r_squared","adj_r_squared","AIC","sample_size","conf_low","conf_high","relationship_sign","status"
"NE",380,"idw_neighbour_DGR",0.982857029528797,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000383892013353273,0.469037732471972,0.46825344551846,648.508342170593,679,0.903943919154726,1.06177013990287,"positive","OK"
"NE",390,"idw_neighbour_DGR",0.989715318953935,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000998736247103497,0.463910164505266,0.463118303596116,655.034069336993,679,0.909428729575578,1.07000190833229,"positive","OK"
"NE",400,"idw_neighbour_DGR",0.992601784417099,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000262523498444985,0.458716810408171,0.457917278370369,661.580204542934,679,0.911235240787174,1.07396832804702,"positive","OK"
"NE",410,"idw_neighbour_DGR",0.996411988099208,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000457216162193482,0.454136344056042,0.453330046189065,667.301887992774,679,0.91397563351727,1.07884834268115,"positive","OK"
"NE",420,"idw_neighbour_DGR",0.999075986295392,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000156615305321371,0.448418150718555,0.447603406480326,674.377753527395,679,0.915459331966533,1.08269264062425,"positive","OK"
"NE",430,"idw_neighbour_DGR",1.00239318410929,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000225343380279314,0.444064055788289,0.443242880095214,679.716621591808,679,0.917756518354929,1.08702984986365,"positive","OK"
"NE",440,"idw_neighbour_DGR",1.00557848193893,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000297673997558661,0.439816913272621,0.438989464104633,684.884213233271,679,0.919938635680488,1.09121832819737,"positive","OK"
"NE",450,"idw_neighbour_DGR",1.00857165976197,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000358488210682064,0.435691357424026,0.434857814377385,689.866490855769,679,0.921953986519596,1.09518933300435,"positive","OK"
"NE",460,"idw_neighbour_DGR",1.01201310798488,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000209489829471424,0.432746299964425,0.431908406759055,693.400893610157,679,0.924577366123458,1.0994488498463,"positive","OK"
"NE",470,"idw_neighbour_DGR",1.01371185868605,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000193701931710878,0.429013948421705,0.428170542141678,697.853867207255,679,0.925460287752609,1.10196342961948,"positive","OK"
"NE",480,"idw_neighbour_DGR",1.01727982056249,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000474120238403148,0.427504975420438,0.426659340229036,699.645927056735,679,0.928444315520734,1.10611532560425,"positive","OK"
"NE",490,"idw_neighbour_DGR",1.02071613578875,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000110007582197665,0.426082512985207,0.425234776667608,701.330926966314,679,0.931321032936656,1.11011123864084,"positive","OK"
"NE",500,"idw_neighbour_DGR",1.02316150116099,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000042822700431597,0.42377814090853,0.422927000791704,704.051763774519,679,0.933128722498641,1.11319427982335,"positive","OK"
"NE",10,"mean_neighbour_DGR",NA,NA,NA,NA,NA,0,NA,NA,NA,"Skipped: sample size < 10"
"NE",20,"mean_neighbour_DGR",0.85542051285671,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000432039184843995,0.761390465291185,0.760951037050469,66.1177033752191,545,0.81505252377183,0.895788501941589,"positive","OK"
