"ID","direction","has_neighbour","n_neighbours","nearest_distance_m","mean_distance_m","proximity_pressure","neighbour_density_per_ha","distance_threshold_m","DGR"
"097_6","SE",1,52,79.10204360838,193.910922100081,0.301091933284632,7.35649514735872,300,3.16003006470173
"097_6","SE",1,53,79.10204360838,195.960333235581,0.30439739373828,7.02202870665594,310,3.16003006470173
"097_6","SE",1,54,79.10204360838,198.146881849234,0.307581762731943,6.71434916168933,320,3.16003006470173
"097_6","SE",1,54,79.10204360838,198.146881849234,0.307581762731943,6.31358451934791,330,3.16003006470173
"097_6","SE",1,54,79.10204360838,198.146881849234,0.307581762731943,5.94765877298432,340,3.16003006470173
"097_6","SE",1,54,79.10204360838,198.146881849234,0.307581762731943,5.61264778903664,350,3.16003006470173
"097_6","SE",1,55,79.10204360838,201.009658362569,0.310393914455086,5.40340856176188,360,3.16003006470173
"097_6","SE",1,56,79.10204360838,204.007496605601,0.313104759951735,5.20828447809855,370,3.16003006470173
"097_6","SE",1,56,79.10204360838,204.007496605601,0.313104759951735,4.93777108761559,380,3.16003006470173
"097_6","SE",1,58,79.10204360838,210.26013794323,0.318295470920328,4.85521982870739,390,3.16003006470173
"097_6","SE",1,58,79.10204360838,210.26013794323,0.318295470920328,4.61549334966497,400,3.16003006470173
"097_6","SE",1,59,79.10204360838,213.492881778738,0.320789286107549,4.46883599877303,410,3.16003006470173
"097_6","SE",1,60,79.10204360838,216.82125367976,0.3232094497737,4.33074675079987,420,3.16003006470173
"097_6","SE",1,61,79.10204360838,220.285261555085,0.325545212192096,4.20051986094348,430,3.16003006470173
"097_6","SE",1,61,79.10204360838,220.285261555085,0.325545212192096,4.01175683000232,440,3.16003006470173
"097_6","SE",1,62,79.10204360838,223.847048081539,0.327812189451176,3.89831366783112,450,3.16003006470173
"097_6","SE",1,63,79.10204360838,227.523609522112,0.330007721715493,3.79083607364439,460,3.16003006470173
"097_6","SE",1,63,79.10204360838,227.523609522112,0.330007721715493,3.63123998724831,470,3.16003006470173
"097_6","SE",1,63,79.10204360838,227.523609522112,0.330007721715493,3.48151438013521,480,3.16003006470173
"097_6","SE",1,63,79.10204360838,227.523609522112,0.330007721715493,3.34086177918847,490,3.16003006470173
"097_6","SE",1,63,79.10204360838,227.523609522112,0.330007721715493,3.20856365273261,500,3.16003006470173
"098_1","SE",0,0,NA,NA,0,0,10,3.26038825736338
"098_1","SE",0,0,NA,NA,0,0,20,3.26038825736338
"098_1","SE",0,0,NA,NA,0,0,30,3.26038825736338
"098_1","SE",0,0,NA,NA,0,0,40,3.26038825736338
"098_1","SE",1,2,43.7975755852646,45.6507647204523,0.0438831933644758,10.1859163578813,50,3.26038825736338
"098_1","SE",1,3,43.7975755852646,49.1977329621688,0.0616478112883831,10.6103295394597,60,3.26038825736338
"098_1","SE",1,4,43.7975755852646,53.9711274403031,0.0762909626233267,10.3937922019197,70,3.26038825736338
"098_1","SE",1,4,43.7975755852646,53.9711274403031,0.0762909626233267,7.95774715459477,80,3.26038825736338
"098_1","SE",1,5,43.7975755852646,60.8983107311324,0.0875767470942681,7.85950336256273,90,3.26038825736338
"098_1","SE",1,8,43.7975755852646,74.3712862708105,0.118582645124374,10.1859163578813,100,3.26038825736338
"098_1","SE",1,10,43.7975755852646,80.7520704215533,0.13740171131639,10.5226408655799,110,3.26038825736338
"098_1","SE",1,11,43.7975755852646,83.9773225600876,0.146005353600118,9.72613541117138,120,3.26038825736338
"098_1","SE",1,12,43.7975755852646,87.6909974006557,0.153784947095875,9.04075416379997,130,3.26038825736338
"098_1","SE",1,14,43.7975755852646,94.6843591665713,0.168422795779908,9.09456817667973,140,3.26038825736338
"098_1","SE",1,18,43.7975755852646,105.630018454178,0.196224808963795,10.1859163578813,150,3.26038825736338
"098_1","SE",1,21,43.7975755852646,112.723399535054,0.215552845081851,10.4445431404056,160,3.26038825736338
"098_1","SE",1,22,43.7975755852646,115.137216374517,0.221583212686308,9.69248096338186,170,3.26038825736338
"098_1","SE",1,22,43.7975755852646,115.137216374517,0.221583212686308,8.64545369881901,180,3.26038825736338
"098_1","SE",1,24,43.7975755852646,120.962105833555,0.232392589002945,8.46475043591244,190,3.26038825736338
"098_1","SE",1,24,43.7975755852646,120.962105833555,0.232392589002945,7.63943726841098,200,3.26038825736338
"098_1","SE",1,25,43.7975755852646,124.264362284061,0.237306146817084,7.21791125133312,210,3.26038825736338
"098_1","SE",1,26,43.7975755852646,127.764383335981,0.241951585786679,6.83971656262691,220,3.26038825736338
