"plot_id","closest_SW_distance_m","closest_SE_distance_m","log_closest_SW","log_closest_SE","predicted_DGR_se_only","predicted_DGR_se_only_lwr","predicted_DGR_se_only_upr","predicted_DGR_sw_se","predicted_DGR_sw_se_lwr","predicted_DGR_sw_se_upr"
"003_3",15.4166359736786,44.2540213401349,2.73544718439182,3.78994624506797,3.10856486892108,3.06422139984081,3.15290833800134,3.03922548434946,2.98848514898317,3.08996581971576
"003_4",15.743207579694,44.7869459986917,2.75640900746891,3.80191671300261,3.11222676281662,3.07061846058492,3.15383506504831,3.04809661788636,3.00197409557622,3.09421914019651
"003_5",16.7881506575449,44.9419457058467,2.82067331955217,3.80537156145517,3.1132759421809,3.07225428270586,3.15429760165593,3.06754879786791,3.02518546276429,3.10991213297153
"004_1",15.982204327073,46.2949187478679,2.77147587369554,3.83503220880327,3.12209400924319,3.08232772779909,3.16186029068728,3.05989933218466,3.0163777060351,3.10342095833423
"004_2",17.350467001545,47.318599159465,2.85361942254619,3.85690343511039,3.12830503016615,3.08574448850418,3.17086557182811,3.08835670977635,3.04343978652694,3.13327363302576
"004_3",13.4995832965303,47.4039677559257,2.60265881804431,3.85870593312864,3.12880316493068,3.08590705206234,3.17169927779902,3.01599196067574,2.93921425420446,3.09276966714703
"004_4",15.5794724842249,46.9010540221513,2.74595418134724,3.84804014901956,3.1258237574942,3.08470128419026,3.16694623079814,3.05526133463931,3.00771746096138,3.10280520831724
"004_5",16.1430425327189,45.4610647618009,2.7814891539188,3.81685624009909,3.11673414500212,3.07698981157448,3.15647847842977,3.05878659336032,3.01627078907226,3.10130239764839
"005_1",15.3870928481353,44.8650954753541,2.73352903125053,3.80366010880647,3.1127566736175,3.07145602792897,3.15405731930604,3.04187504087957,2.99319498551339,3.09055509624575
"005_2",15.9564716029222,42.5420378414101,2.76986449006929,3.75049271274814,3.09629379942326,3.03654122587184,3.15604637297468,3.03970562827591,2.97868915912497,3.10072209742685
"005_3",15.5965457105024,44.7320300321844,2.74704946092256,3.80068980054603,3.11185328107151,3.07001435319496,3.15369220894805,3.04510088093319,2.99775573959349,3.09244602227288
"005_4",14.4046466150029,45.1836530848522,2.66755083612887,3.8107353640096,3.1148970229817,3.07460084917775,3.15519319678565,3.02441580747888,2.96464083726846,3.08419077768929
"005_5",15.5677444960809,46.5227341342402,2.74520111318672,3.83994109923035,3.12351305671111,3.08335212302952,3.1636739903927,3.0533395572764,3.00661075897787,3.10006835557493
"007_1",16.5353608608756,60.6067814883653,2.80550117025825,4.10440679256289,3.16891597385292,3.05876961743662,3.27906233026923,3.09843472533621,2.98867681293946,3.20819263773295
"007_3",17.2440870486328,47.944841035085,2.84746930492555,3.870051205032,3.13188490410183,3.08659529017266,3.177174518031,3.0891477176965,3.0419285361147,3.1363668992783
"007_5",17.1489408200543,48.0852995118439,2.84193641194114,3.87297650694496,3.13266387003714,3.08668837078447,3.17863936928982,3.08809161991636,3.04039384892192,3.13578939091079
"008_1",17.4094344560157,53.3734834543157,2.85701226939353,3.97731405811123,3.15548224762593,3.07842369859287,3.23254079665899,3.10762377475327,3.03004367990345,3.18520386960309
"008_2",17.3356756850871,59.0236595681009,2.85276655646141,4.07793837315168,3.16744439779998,3.06299226351028,3.27189653208967,3.11208414753158,3.00812202462722,3.21604627043594
"008_3",17.4394949533526,47.1678848198963,2.85873745896475,3.85371325465192,3.12741793725446,3.08541711872578,3.16941875578313,3.08920427910618,3.04455827464398,3.13385028356838
"008_4",17.8210126937571,46.9554260810253,2.88037824948278,3.84919877045724,3.12615102610874,3.08486203328444,3.16744001893305,3.09460258568725,3.04921431168923,3.13999085968527
"008_5",17.6865108928584,51.1763178272155,2.87280225258798,3.93527688260251,3.14751703802923,3.08352956934309,3.21150450671536,3.10727987855178,3.04161780453185,3.17294195257171
"008_6",17.3485254323261,48.2412043573346,2.85350751328976,3.87621351805535,3.133518062285,3.08675555341937,3.18028057115063,3.09207555849577,3.04326201056102,3.14088910643052
"009_1",17.5971633454498,106.858380195043,2.86773771550027,4.6715044082175,3.05484344645203,2.93068552958215,3.17900136332191,3.00498365038768,2.88224236191212,3.12772493886324
"009_2",51.5016008934137,125.048015505734,3.94161289249556,4.82869778759142,2.9706107616454,2.82619953329357,3.11502198999722,3.19326382393149,3.02839444383015,3.35813320403283
"009_3",17.9232654063846,46.9840704706089,2.88609961228492,3.84980861810435,3.12632294259289,3.08494357528933,3.16770230989644,3.09640303718565,3.05049118102746,3.14231489334383
"009_4",52.39048355956,47.2765538243613,3.95872496337486,3.85601448178569,3.12805853463472,3.08565844464685,3.17045862462258,3.36595865476621,3.27421020550917,3.45770710402325
"009_5",17.5178174692611,47.407715683718,2.86321850407599,3.85878499359162,3.1288249621249,3.08591382366826,3.17173610058154,3.09153734132145,3.04581717638175,3.13725750626115
"009_6",53.1011631144463,47.0227549012085,3.97219883223486,3.85063163138302,3.12655457167959,3.08505031316311,3.16805883019606,3.36681742868591,3.27551832871118,3.45811652866063
"010_1",18.144034474104,96.1274551892952,2.89834182757131,4.56567496913078,3.09592841834761,2.97194282315983,3.2199140135354,3.05206793123422,2.92916809012429,3.17496777234415
"010_2",17.0219637593992,99.9072713975064,2.83450449600769,4.60424246976751,3.08216262290857,2.95892952429533,3.20539572152181,3.02081950629055,2.8994657638186,3.1421732487625
"010_3",17.5864733403866,48.2179523582651,2.86713004634499,3.87573140727786,3.13339136535963,3.08674784230173,3.18003488841753,3.09596366666699,3.04662378617129,3.14530354716269
"010_4",18.2921183405923,48.0375146515955,2.90647027530212,3.8719822608942,3.13239985845749,3.08666028062509,3.17813943628989,3.10677282210548,3.05543193625224,3.15811370795871
"010_5",17.8470696337988,46.0435301190134,2.88183932857517,3.82958725595803,3.12050492418932,3.08099299834769,3.16001685003094,3.09084890509579,3.04691557583693,3.13478223435466
"010_6",17.314504333353,47.0820694576256,2.85154455101397,3.85189223762029,3.12690850507453,3.08520655389741,3.16861045625165,3.08673248230102,3.04270557256184,3.1307593920402
"011_1",18.2926830031216,60.2712660411156,2.9065011439967,4.09885547343188,3.16866489177095,3.05965031797362,3.27767946556829,3.12794005533607,3.01842604298366,3.23745406768848
"011_2",70.8195816310311,63.5313896109439,4.26013553916887,4.15153410834229,3.16983312295883,3.05144121686762,3.28822502905005,3.42035039259762,3.27986493068289,3.56083585451234
"011_3",18.7867765027193,48.1981417598048,2.93315324483495,3.87532046761223,3.13328322649916,3.08674064541797,3.17982580758035,3.11523481679923,3.06079324084669,3.16967639275178
"011_4",70.1682116719279,47.3726765695423,4.25089538328927,3.85804561881295,3.12862094381565,3.08584932678746,3.17139256084384,3.39705552009469,3.3026393519581,3.49147168823128
"013_1",17.4635624251657,97.5740194621076,2.86011656311409,4.58061126394734,3.09074818100984,2.96711395697587,3.2143824050438,3.0361646976119,2.91430412059025,3.15802527463354
"013_2",53.8787361814098,98.448445801362,3.98673589509427,4.5895330182806,3.08756391370778,2.96410744257027,3.21102038484528,3.31314546811287,3.16969318563771,3.45659775058804
"013_3",16.5141224293026,47.5568043111813,2.80421591963511,3.8619248767808,3.12968706549702,3.0861591531364,3.17321497785763,3.07497400272091,3.02961791232614,3.12033009311568
"013_4",52.4510367632814,46.6171747170805,3.9598801013444,3.84196902939199,3.12409530898068,3.08372842024825,3.16446219771311,3.36322106457561,3.27208929003033,3.45435283912089
"013_5",17.7728276883851,46.8032324496513,2.87767075659695,3.84595226997541,3.12523187892801,3.08439189054931,3.16607186730671,3.09313523676397,3.04834538641818,3.13792508710976
"013_6",52.6185860782242,47.6463344928105,3.9630694048259,3.86380570149198,3.13020008994683,3.08628476601934,3.17411541387431,3.36814836591464,3.27593077496875,3.46036595686053
"014_1",16.8661953270744,99.1024789914489,2.82531134219973,4.59615445607301,3.08515616180047,2.96181224759003,3.2085000760109,3.02089584875442,2.89940784313305,3.14238385437578
"014_2",18.3147836102686,98.4143094163461,2.90770858126983,4.58918621438344,3.08768897000961,2.96422611997525,3.21115182004397,3.04729481215252,2.92457977884221,3.17000984546283
"014_3",18.9603599952217,46.9208549194879,2.94235048373637,3.84846224440973,3.12594308267446,3.08476073799298,3.16712542735594,3.11262683740695,3.06141515252111,3.16383852229279
"014_4",17.2257002019045,46.7713612579438,2.84640246640179,3.84527107667973,3.1250381884374,3.0842853389663,3.1657910379085,3.08385975896386,3.04093428897602,3.12678522895169
"014_5",19.0322240766023,47.1448929536606,2.94613354660738,3.85322568833834,3.12728175544245,3.08536246747615,3.16920104340875,3.11471904317167,3.06254854480945,3.16688954153389
"014_6",16.419586919692,45.7548169007813,2.79847494656362,3.82329707362797,3.11865094365887,3.07917464847792,3.15812723883983,3.06515999792652,3.02369443108657,3.10662556476647
