"plot_id","DGR","closest_SW_distance_m","closest_SE_distance_m","log_closest_SW","log_closest_SE"
"119_6",3.6556254590926,60.5133831028253,42.0775666034156,4.10286454888501,3.73951473889176
"132_5",3.21876095712747,18.3893713890641,44.7780159760882,2.91177285581689,3.80171730416156
"139_1",3.40744507074716,18.1780611033741,43.9067063582192,2.9002154330824,3.78206707283796
"035_2",3.89825849556813,16.6171640906573,43.967732554144,2.81043614253686,3.78345601384267
"035_3",4.0173513554297,16.7759543159594,45.0549522074921,2.81994657041752,3.80788290492719
"044_2",2.84277136186232,17.5787180307742,49.2263251317547,2.86668896757159,3.8964285440563
"110_2",4.34074332096094,15.4992317026776,43.3699759108484,2.7407904551275,3.7697674024136
"112_2",4.0875798618528,18.6565078202684,44.0523922610362,2.92619503000926,3.7853796587631
"118_1",4.39455812512616,17.5393752128372,47.1429675420577,2.86444836560477,3.85318484720369
"123_3",4.23506678618521,16.6087172543002,44.3408489603608,2.80992769332816,3.79190635060751
"002_1",3.31050436974503,17.9617674038406,110.410430588432,2.88824546581855,4.70420460934773
"010_1",3.85693347699719,18.144034474104,96.1274551892952,2.89834182757131,4.56567496913078
"013_4",4.15246122746359,52.4510367632814,46.6171747170805,3.9598801013444,3.84196902939199
"016_1",3.31050436974503,15.5560160396233,45.7484008485305,2.74444744738215,3.82315683698014
"021_5",4.03721847870731,16.0393768008213,46.1441508525552,2.77504674886695,3.83177021082659
"022_5",4.58177633137402,15.8784292404563,45.8692442853066,2.7649615365977,3.82579483333289
"023_1",3.59874150011832,15.9181382545876,44.2791539177723,2.76745922977046,3.79051400010983
"048_5",3.89119735225218,17.7547769765689,47.829472426578,2.87665460515417,3.8676420274532
"064_1",3.0453599071211,15.354766007944,49.5890809665912,2.73142591495831,3.90377066769352
"065_5",2.83717395074108,17.1070229544955,47.7866953688596,2.83948907828813,3.86674726119016
"071_3",2.44539210125908,18.3840317488689,45.2555566837687,2.91148244808864,3.81232546224797
"072_2",3.49888632985158,16.277043226541,46.855738679032,2.78975572408815,3.84707349166402
"077_3",3.56585492317997,16.5230920177474,46.2644598197346,2.80475891872357,3.83437405984627
"079_2",2.74311076459462,17.5075436872648,46.6495318664072,2.86263185589012,3.84266289222494
"080_2",4.56543095036143,16.4475425953594,46.434074221933,2.8001760797518,3.83803354795445
"085_4",2.90146324461504,16.1199804958376,50.3050979089221,2.78005952714212,3.9181064220481
